id,strategies,round,assets
54,tft,14,395
55,coop,14,314
56,tft,14,396
57,tft,14,407
58,defect,14,2297
59,random,14,1522
60,random,14,1868
61,tft,14,367
62,random,14,1572
63,random,14,1635
64,tft,14,390
65,tft,14,387
66,tft,14,375
67,random,14,1739
68,coop,14,341
69,defect,14,2603
70,random,14,1825
71,defect,14,2507
72,random,14,1791
73,tft,14,353
74,coop,14,310
75,defect,14,2414
76,random,14,1776
77,tft,14,432
78,tft,14,384
79,defect,14,2506
80,random,14,1801
81,coop,14,318
82,tft,14,380
83,random,14,1815
84,random,14,1665
85,tft,14,362
86,coop,14,268
87,tft,14,388
88,coop,14,308
89,tft,14,336
90,coop,14,322
91,defect,14,2383
92,coop,14,283
93,coop,14,294
94,defect,14,2387
95,tft,14,398
96,coop,14,289
97,tft,14,391
98,defect,14,2369
99,random,14,1709
0,coop,15,334
1,coop,15,316
2,tft,15,383
3,tft,15,376
4,random,15,1796
5,random,15,1851
6,coop,15,303
7,coop,15,322
8,coop,15,301
9,random,15,1789
10,tft,15,373
11,random,15,451
12,random,15,1752
13,tft,15,405
14,defect,15,2451
15,tft,15,369
16,random,15,1804
17,random,15,1684
18,tft,15,402
19,coop,15,321
20,random,15,411
21,defect,15,2674
22,defect,15,2579
23,defect,15,2626
24,random,15,1803
25,random,15,422
26,coop,15,262
27,tft,15,381
28,defect,15,2423
29,tft,15,332
30,tft,15,358
31,random,15,1727
32,defect,15,2537
33,defect,15,2600
34,tft,15,357
35,tft,15,359
36,defect,15,2481
37,tft,15,327
38,defect,15,2722
39,coop,15,289
40,defect,15,2537
41,tft,15,370
42,random,15,1884
43,random,15,1804
44,random,15,1856
45,defect,15,2574
46,random,15,1732
47,coop,15,290
48,random,15,1725
49,random,15,1758
50,defect,15,2654
51,defect,15,2595
52,defect,15,2523
53,tft,15,379
54,tft,15,395
55,coop,15,314
56,tft,15,396
57,tft,15,407
58,defect,15,2421
59,random,15,1584
60,random,15,1976
61,tft,15,367
62,random,15,1644
63,random,15,1709
64,tft,15,390
65,tft,15,387
66,tft,15,375
67,random,15,1823
68,coop,15,341
69,defect,15,2751
70,random,15,1909
71,defect,15,2615
72,random,15,1869
73,tft,15,353
74,coop,15,310
75,defect,15,2562
76,random,15,1902
77,tft,15,432
78,tft,15,384
79,defect,15,2642
80,random,15,1905
81,coop,15,318
82,tft,15,380
83,random,15,1899
84,random,15,1727
85,tft,15,362
86,coop,15,268
87,tft,15,388
88,coop,15,308
89,tft,15,336
90,coop,15,322
91,defect,15,2501
92,coop,15,283
93,coop,15,294
94,defect,15,2523
95,tft,15,398
96,coop,15,289
97,tft,15,391
98,defect,15,2507
99,random,15,1817
0,coop,16,334
1,coop,16,316
2,tft,16,383
3,tft,16,376
4,random,16,1896
5,random,16,1909
6,coop,16,303
7,coop,16,322
8,coop,16,301
9,random,16,1847
10,tft,16,373
11,random,16,451
12,random,16,1822
13,tft,16,405
14,defect,16,2547
15,tft,16,369
16,random,16,1878
17,random,16,1776
18,tft,16,402
19,coop,16,321
20,random,16,411
21,defect,16,2800
22,defect,16,2717
23,defect,16,2782
24,random,16,1889
25,random,16,422
26,coop,16,262
27,tft,16,381
28,defect,16,2557
29,tft,16,332
30,tft,16,358
31,random,16,1805
32,defect,16,2673
33,defect,16,2744
34,tft,16,357
35,tft,16,359
36,defect,16,2607
37,tft,16,327
38,defect,16,2854
39,coop,16,289
40,defect,16,2641
41,tft,16,370
42,random,16,1992
43,random,16,1892
44,random,16,1942
45,defect,16,2700
46,random,16,1802
47,coop,16,290
48,random,16,1821
49,random,16,1828
50,defect,16,2788
51,defect,16,2733
52,defect,16,2661
53,tft,16,379
54,tft,16,395
55,coop,16,314
56,tft,16,396
57,tft,16,407
58,defect,16,2545
59,random,16,1662
60,random,16,2072
61,tft,16,367
62,random,16,1722
63,random,16,1787
64,tft,16,390
65,tft,16,387
66,tft,16,375
67,random,16,1891
68,coop,16,341
69,defect,16,2895
70,random,16,2005
71,defect,16,2751
72,random,16,1943
73,tft,16,353
74,coop,16,310
