"","id","strategies","round","assets"
"1610",9,"random",16,1970
"1611",10,"coop",16,342
"1612",11,"defect",16,2795
"1613",12,"tft",16,420
"1614",13,"random",16,1896
"1615",14,"defect",16,2838
"1616",15,"defect",16,2773
"1617",16,"random",16,1936
"1618",17,"coop",16,309
"1619",18,"coop",16,318
"1620",19,"random",16,1999
"1621",20,"defect",16,2564
"1622",21,"tft",16,330
"1623",22,"tft",16,397
"1624",23,"tft",16,387
"1625",24,"random",16,1944
"1626",25,"random",16,1668
"1627",26,"tft",16,373
"1628",27,"coop",16,360
"1629",28,"tft",16,370
"1630",29,"coop",16,272
"1631",30,"random",16,1916
"1632",31,"tft",16,388
"1633",32,"random",16,1793
"1634",33,"tft",16,377
"1635",34,"coop",16,314
"1636",35,"defect",16,2843
"1637",36,"defect",16,2754
"1638",37,"defect",16,2887
"1639",38,"random",16,2003
"1640",39,"random",16,1942
"1641",40,"tft",16,357
"1642",41,"defect",16,2698
"1643",42,"defect",16,2743
"1644",43,"tft",16,375
"1645",44,"defect",16,2870
"1646",45,"defect",16,2888
"1647",46,"random",16,2065
"1648",47,"defect",16,2836
"1649",48,"tft",16,408
"1650",49,"defect",16,2912
"1651",50,"coop",16,323
"1652",51,"defect",16,2772
"1653",52,"coop",16,318
"1654",53,"tft",16,349
"1655",54,"coop",16,294
"1656",55,"coop",16,280
"1657",56,"tft",16,367
"1658",57,"random",16,2026
"1659",58,"defect",16,2775
"1660",59,"coop",16,315
"1661",60,"tft",16,359
"1662",61,"coop",16,305
"1663",62,"random",16,1948
"1664",63,"coop",16,318
"1665",64,"tft",16,422
"1666",65,"defect",16,2634
"1667",66,"coop",16,323
"1668",67,"tft",16,410
"1669",68,"tft",16,384
"1670",69,"defect",16,2653
"1671",70,"random",16,2003
"1672",71,"coop",16,286
"1673",72,"tft",16,381
"1674",73,"defect",16,2801
"1675",74,"random",16,1942
"1676",75,"random",16,2043
"1677",76,"random",16,2008
"1678",77,"coop",16,314
"1679",78,"random",16,1968
"1680",79,"tft",16,357
"1681",80,"tft",16,364
"1682",81,"defect",16,2731
"1683",82,"defect",16,2853
"1684",83,"tft",16,354
"1685",84,"defect",16,2927
"1686",85,"random",16,2032
"1687",86,"random",16,1857
"1688",87,"tft",16,382
